"Literal",Code
"beek en donk",http://cedar.example.org/ns#ac-10173
"beekbergen",http://cedar.example.org/ns#ac-11390
"beemster",http://cedar.example.org/ns#ac-10816
"beers",http://cedar.example.org/ns#ac-11410
"beerta",http://cedar.example.org/ns#ac-11043
"beesd",http://cedar.example.org/ns#ac-10259
"beesel",http://cedar.example.org/ns#ac-10195
"beets",http://cedar.example.org/ns#ac-10536
"beetsterzwaag",http://cedar.example.org/ns#ac-10987
"beilen",http://cedar.example.org/ns#ac-10520
"belfeld",http://cedar.example.org/ns#ac-10292
"bellingwedde",http://cedar.example.org/ns#ac-10340
"bellingwolde",http://cedar.example.org/ns#ac-10340
"beltrum",http://cedar.example.org/ns#ac-10251
"bemelen",http://cedar.example.org/ns#ac-10878
"bemmel",http://cedar.example.org/ns#ac-10744
"bennebroek",http://cedar.example.org/ns#ac-10734
"bennekom",http://cedar.example.org/ns#ac-11179
"benschop",http://cedar.example.org/ns#ac-11330
"benthorn",http://cedar.example.org/ns#ac-11267
"benthuizen",http://cedar.example.org/ns#ac-10398
"berg en terblijt",http://cedar.example.org/ns#ac-10796
"bergambacht",http://cedar.example.org/ns#ac-10962
"bergeijk",http://cedar.example.org/ns#ac-11160
"bergen",http://cedar.example.org/ns#ac-11424
"bergen op zoom",http://cedar.example.org/ns#ac-11037
"bergeyk",http://cedar.example.org/ns#ac-11160
"bergh",http://cedar.example.org/ns#ac-10350
"bergharen",http://cedar.example.org/ns#ac-10883
"berghem",http://cedar.example.org/ns#ac-10733
"bergschenhoek",http://cedar.example.org/ns#ac-10445
"bergum",http://cedar.example.org/ns#ac-11241
"berkel en rodenrijs",http://cedar.example.org/ns#ac-10139
"berkel-enschot",http://cedar.example.org/ns#ac-11132
"berkelland",http://cedar.example.org/ns#ac-10436
"berkenrode",http://cedar.example.org/ns#ac-10223
"berkenwoude",http://cedar.example.org/ns#ac-10797
"berkhout",http://cedar.example.org/ns#ac-10354
"berlicum",http://cedar.example.org/ns#ac-10362
"berlikum",http://cedar.example.org/ns#ac-11117
"bernheze",http://cedar.example.org/ns#ac-10149
"bernisse",http://cedar.example.org/ns#ac-10316
"besoijen",http://cedar.example.org/ns#ac-10056
"best",http://cedar.example.org/ns#ac-10442
"beugen en rijkevoort",http://cedar.example.org/ns#ac-10252
"beuningen",http://cedar.example.org/ns#ac-10417
"beusichem",http://cedar.example.org/ns#ac-11182
"beverwijk",http://cedar.example.org/ns#ac-10272
"biert",http://cedar.example.org/ns#ac-10686
"bierum",http://cedar.example.org/ns#ac-11294
